Objeto;;;
Tiempo;Altura (cm);Velocidad (y);Aceleración (y)
0,0000;0,07856449;;
0,0167;0,001479407;2,975714;
0,0333;0,177755;18,53528;837,2724
0,0500;0,619322;31,37553;863,2796
0,0667;1,223606;46,15502;1002,944
0,0833;2,157823;65,57706;773,919
0,1000;3,409508;73,48969;709,4444
0,1167;4,607479;85,46347;834,8172
0,1333;6,258291;104,6311;1051,725
0,1500;8,095184;118,93;758,6567
0,1667;10,22262;131,1168;781,3096
0,1833;12,46574;143,4534;897,7205
0,2000;15,0044;161,7334;1112,58
0,2167;17,85686;180,6106;955,1113
0,2333;21,02476;194,3225;797,562
0,2500;24,33428;205,9971;745,5402
0,2667;27,89133;219,7804;839,0665
0,2833;31,66029;233,6485;942,2007
0,3000;35,67961;251,0167;980,0924
0,3167;40,02751;267,1632;845,0254
0,3333;44,58505;278,8079;798,3095
0,3500;49,32111;293,125;859,7186
0,3667;54,35589;308,3638;801,9896
0,3833;59,5999;319,6549;721,0444
0,4000;65,01105;331,9012;985,127
0,4167;70,66328;352,004;1065,985
0,4333;76,74452;369,4276;979,9237
0,4500;82,97753;382,8618;663,5997
0,4667;89,50658;393,223;750,2361
0,4833;96,08497;405,4839;943,3156
0,5000;103,0227;426,1266;881,7004
0,5167;110,2892;436,1313;744,6527
0,5333;117,5604;447,9168;628,6077
0,5500;125,2197;460,2873;945,9046
0,5667;132,9033;475,8693;935,8093
0,5833;141,0821;495,0091;1015,114
0,6000;149,4036;507,6193;768,9335
0,6167;158,0027;521,5989;950,1197
0,6333;166,7903;538,1583;993,2066
0,6500;175,9413;556,02;973,7929
0,6667;185,3243;570,0389;1162,958
0,6833;194,9426;593,4708;1210,333
0,7000;205,1066;613,525;943,1814
0,7167;215,3934;622,8226;774,35
0,7333;225,8674;638,9166;1396,898
0,75;236,69;668,81;1225,02
0,77;248,16;684,35;-1005,29
0,78;259,50;637,55;
0,80;269,41;;
